CRASH_ID,CRASH_DATE,CRASH_TIME,SEVERITY,CRASH_TYPE,CYCLISTS,CYCLIST_CASUALTIES,REPORTED_LOCATION,LATITUDE,LONGITUDE,LOCATION_1
1039274,30 June 2012,15:45,Property Damage Only,Same direction side swipe,1,0,ANTILL/PHILLIP INTERSECTION,-35.24698,149.154427,"(-35.24698, 149.154427)"
1085051,08 April 2014,08:35,Property Damage Only,Right angle collision,1,0,FAIRBAIRN/ROBERT CAMPBELL INTERSECTION,-35.29244,149.170456,"(-35.29244, 149.170456)"
1099026,21 November 2014,09:15,Injury,Right turn into oncoming vehicle,1,1,LONSDALE STREET (GIRRAHWEEN -> ELOUERA),-35.27165,149.133042,"(-35.27165, 149.133042)"
1177888,12 February 2018,10:15,Property Damage Only,Other - Vehicle to Vehicle,1,0,AINSLIE/COOYONG INTERSECTION,-35.2794,149.135664,"(-35.2794, 149.135664)"
1139750,15 July 2016,10:00,Property Damage Only,Struck object  (On Road),1,0,CRINIGAN CIRCLE (FRANZ BORMANN -> GINN),-35.183814,149.126834,"(-35.183814, 149.126834)"
1053739,23 January 2013,08:58,Injury,Struck pedestrian (On Road),1,0,ALINGA/CITY/EAST/MORT INTERSECTION,-35.278543,149.130627,"(-35.278543, 149.130627)"
1175291,20 December 2017,17:05,Property Damage Only,Same direction side swipe,1,0,FARRELL/MARCUS CLARKE INTERSECTION,-35.280814,149.12446,"(-35.280814, 149.12446)"
1154172,18 February 2017,09:30,Injury,Same direction side swipe,1,1,SWALLOWTAIL/JOHN GORTON/ EDGEWORTH INTERSECTION,-35.316172,149.033959,"(-35.316172, 149.033959)"
1134871,02 May 2016,13:35,Property Damage Only,Right angle collision,1,0,FRANCIS/MUGGA INTERSECTION,-35.335625,149.122239,"(-35.335625, 149.122239)"
1118054,08 June 2015,11:35,Property Damage Only,Rear end collision,1,0,IRON KNOB STREET (BEACONSFIELD -> GERALDTON),-35.336284,149.179631,"(-35.336284, 149.179631)"
1167765,23 August 2017,15:10,Property Damage Only,Same direction side swipe,1,0,BELCONNEN WAY (PETTERD -> COULTER),-35.243646,149.05525,"(-35.243646, 149.05525)"
1183115,08 May 2018,18:15,Property Damage Only,Right angle collision,1,0,BRIGALOW/WATTLE INTERSECTION,-35.251948,149.123983,"(-35.251948, 149.123983)"
1181066,28 March 2018,08:45,Property Damage Only,Same direction side swipe,1,0,MARCUS CLARKE STREET (FARRELL -> UNIVERSITY),-35.280511,149.124628,"(-35.280511, 149.124628)"
1072782,16 October 2013,17:30,Property Damage Only,Right angle collision,1,0,BARTON/GUNDAROO/WILLIAM SLIM INTERSECTION,-35.201575,149.094234,"(-35.201575, 149.094234)"
1150118,08 December 2016,07:00,Property Damage Only,Right angle collision,1,0,ANGAS/IJONG/LIMESTONE INTERSECTION,-35.264574,149.13681,"(-35.264574, 149.13681)"
1131177,03 March 2016,09:25,Property Damage Only,Other - Vehicle to Vehicle,1,0,COSSINGTON SMITH/ELLENBOROUGH (SW) INTERSECTION,-35.240485,149.125709,"(-35.240485, 149.125709)"
1060446,11 April 2013,07:50,Property Damage Only,Other - Vehicle to Vehicle,1,0,EUREE/LIMESTONE/TRELOAR INTERSECTION,-35.279249,149.145596,"(-35.279249, 149.145596)"
1062002,02 May 2013,18:15,Property Damage Only,Right angle collision,1,0,MASSON/WATSON INTERSECTION,-35.269907,149.126566,"(-35.269907, 149.126566)"
1140139,05 July 2016,12:15,Injury,Right angle collision,1,1,DAVID/MACPHERSON/MCCAUGHEY INTERSECTION,-35.264951,149.122297,"(-35.264951, 149.122297)"
1034511,15 May 2012,18:00,Property Damage Only,Right angle collision,1,0,AUSTIN/BARRALLIER/CAPTAIN COOK INTERSECTION,-35.32655,149.135134,"(-35.32655, 149.135134)"
1100169,27 November 2014,08:25,Injury,Same direction side swipe,1,1,ALBANY/COLLIE INTERSECTION,-35.327368,149.180426,"(-35.327368, 149.180426)"
1104628,23 February 2015,15:30,Injury,Other - Vehicle to Vehicle,1,1,CONSTITUTION/CORANDERRK INTERSECTION,-35.285718,149.135131,"(-35.285718, 149.135131)"
1165986,07 May 2017,16:30,Injury,Other - Vehicle to Vehicle,1,1,BEELA/MUNDAWARI INTERSECTION,-35.173123,149.099965,"(-35.173123, 149.099965)"
1129372,25 February 2016,16:40,Injury,Right angle collision,1,1,GORDON/MARCUS CLARKE INTERSECTION,-35.28265,149.123957,"(-35.28265, 149.123957)"
1033807,27 April 2012,16:30,Property Damage Only,Other - Vehicle to Vehicle,1,0,MACARTHUR/NORTHBOURNE/WAKEFIELD INTERSECTION,-35.260511,149.132038,"(-35.260511, 149.132038)"
1122050,15 October 2015,07:45,Property Damage Only,Right angle collision,1,0,HERRON/MULVANY INTERSECTION,-35.207525,149.027913,"(-35.207525, 149.027913)"
1026677,11 January 2012,18:45,Injury,Right angle collision,1,1,ATHLLON/FLORENCE TAYLOR (SW) INTERSECTION,-35.405038,149.06461,"(-35.405038, 149.06461)"
1115430,26 June 2015,08:25,Property Damage Only,Other - Vehicle to Vehicle,1,0,HODGSON CRESCENT (MARR -> COLLINGS),-35.357871,149.087087,"(-35.357871, 149.087087)"
