ID,Name,Average User Rating,User Rating Count,Price,In-app Purchases,Developer,Age Rating,Languages,Size,Primary Genre,Genres,Original Release Date,Current Version Release Date,,,,,,,,,,,,,,,,,,,,
311466554,Pocket Tanks Deluxe,4.5,5543,4.99,"0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99","Blitwise Productions, LLC",9+,EN,39997440,Games,"Games, Family, Strategy, Entertainment",15/04/2009,31/08/2016,,,,,,,,,,,,,,,,,,,,
311468972,Castle Smasher,3,12659,0.99,,Donut Games,4+,EN,10308608,Games,"Games, Strategy, Action",14/04/2009,5/07/2017,,,,,,,,,,,,,,,,,,,,
311544087,Pocket Tanks,4,90386,0,"4.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99","Blitwise Productions, LLC",9+,EN,43073536,Games,"Games, Strategy, Family, Entertainment",15/04/2009,31/08/2016,,,,,,,,,,,,,,,,,,,,
312093430,Inverti,3,40,0,,Frank LaRosa,4+,EN,2004992,Games,"Games, Board, Strategy",21/04/2009,5/10/2017,,,,,,,,,,,,,,,,,,,,
313149078,Crystal Mine,2,353,0,,Modular Dreams Inc,4+,EN,2818386,Games,"Games, Casual, Strategy",3/05/2009,3/05/2009,,,,,,,,,,,,,,,,,,,,
313324870,Nerve,2.5,47,0,,Mahboud Zabetian,4+,EN,6994639,Games,"Games, Strategy",28/04/2009,3/07/2009,,,,,,,,,,,,,,,,,,,,
313365393,Pebbles,3,866,0,,Objective Development,4+,"EN, DE",10136576,Games,"Games, Strategy, Board, Entertainment",28/04/2009,20/01/2016,,,,,,,,,,,,,,,,,,,,
313478124,AirTycoon - Airline Management,3.5,3416,0,,TRADEGAME Lab Inc.,4+,EN,8646161,Games,"Games, Strategy, Role Playing, Entertainment",29/04/2009,13/11/2012,,,,,,,,,,,,,,,,,,,,
313734044,Jungle Crash Land,3.5,67670,0.99,,Donut Games,4+,EN,7703552,Games,"Games, Strategy, Action",1/05/2009,21/06/2017,,,,,,,,,,,,,,,,,,,,
313835253,PortOfCallL,2.5,634,0,"0.99, 0.99",Dipl.-Ing. Rolf-Dieter Klein,4+,"DA, NL, EN, FI, FR, DE, IT, NO, PT, ES, SV",3396500,Games,"Games, Strategy, Simulation",1/05/2009,7/05/2011,,,,,,,,,,,,,,,,,,,,
314162908,"""Swap 'n Drop""",3,282,2.99,,CH4 Productions,4+,EN,4225024,Games,"Games, Puzzle, Strategy",3/05/2009,17/11/2017,,,,,,,,,,,,,,,,,,,,
314464100,Boxed In,3.5,93235,0.99,"0.99, 0.99, 0.99, 1.99, 0.99, 2.99, 4.99, 0.99, 0.99, 0.99",Dennis Mengelt,4+,EN,259371008,Games,"Games, Strategy, Entertainment, Puzzle",6/05/2009,4/12/2017,,,,,,,,,,,,,,,,,,,,
314506629,SmartGo Player,4,569,2.99,,"Smart Go, Inc.",4+,"EN, FR, DE, JA, KO, RU, ZH, ES, ZH",23805952,Games,"Games, Entertainment, Board, Strategy",6/05/2009,4/05/2018,,,,,,,,,,,,,,,,,,,,
314907526,Big 2 Classic,3.5,127,2.99,,38 Softworks Inc.,4+,"EN, ZH, ZH",3684352,Games,"Games, Strategy, Card, Entertainment",7/05/2009,14/10/2017,,,,,,,,,,,,,,,,,,,,
315733642,"""Sally's Spa Lite""",4,193923,0,,Games Cafe Inc.,4+,"EN, FR, DE, IT, ES",233482240,Games,"Games, Action, Entertainment, Strategy",28/05/2009,11/09/2017,,,,,,,,,,,,,,,,,,,,
316491616,TowerMadness,4,42389,2.99,"1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 5.99",Limbic Software,9+,"EN, DE",56048640,Games,"Games, Strategy, Puzzle",24/05/2009,5/03/2018,,,,,,,,,,,,,,,,,,,,
316540851,Chinese Chess Master,3.5,207,3.99,,PPCLINK Software,4+,EN,23740416,Games,"Games, Entertainment, Strategy, Board",23/05/2009,19/10/2015,,,,,,,,,,,,,,,,,,,,
317154247,Block Off,3,16554,0,0.99,Elements of Design LLC,4+,EN,6338617,Games,"Games, Puzzle, Strategy, Entertainment",25/05/2009,19/03/2012,,,,,,,,,,,,,,,,,,,,
317677424,UAV Fighter Free,3,6906,0,,"Entertaining Games, Inc.",12+,EN,12120793,Games,"Games, Strategy, Simulation, Entertainment",5/06/2009,2/08/2012,,,,,,,,,,,,,,,,,,,,
318083567,WORP - Next Gen Solitaire Puzzle,3,9,1.99,,Maximilian Auer,4+,"EN, DE",20501504,Games,"Games, Board, Entertainment, Strategy",7/06/2009,24/10/2016,,,,,,,,,,,,,,,,,,,,
318267805,Bubble Buster,3.5,2110,0,"1.99, 9.99, 0.99, 9.99, 2.99, 0.99, 19.99, 0.99, 0.99, 9.99",North Sky Games,4+,EN,76698624,Games,"Games, Board, Strategy, Entertainment",11/07/2009,13/07/2016,,,,,,,,,,,,,,,,,,,,
318280645,Age of Conquest: Europe,3.5,267,3.99,,Noble Master LLC,12+,EN,39074816,Entertainment,"Entertainment, Games, Board, Strategy",16/06/2009,12/10/2018,,,,,,,,,,,,,,,,,,,,
318465515,Backgammon!,2,704,0,,osnine,4+,EN,413902,Games,"Games, Entertainment, Strategy, Board",11/06/2009,11/06/2009,,,,,,,,,,,,,,,,,,,,
318639200,Crush the Castle,3.5,23854,0.99,,Armor Games Inc,12+,EN,44707840,Games,"Games, Adventure, Strategy",18/09/2009,31/07/2017,,,,,,,,,,,,,,,,,,,,
318974349,PopGroup,3,847,0.99,,Tom Kerrigan,4+,EN,995328,Games,"Games, Board, Strategy, Entertainment",18/06/2009,3/07/2017,,,,,,,,,,,,,,,,,,,,
318975161,PopGroup Lite,3,233,0,,Tom Kerrigan,4+,EN,761856,Games,"Games, Entertainment, Board, Strategy",16/09/2009,3/07/2017,,,,,,,,,,,,,,,,,,,,
319009472,TapSquares,3,5,0.99,,Bubble Pop Software,4+,EN,2137088,Games,"Games, Strategy, Entertainment, Puzzle",10/06/2009,7/03/2019,,,,,,,,,,,,,,,,,,,,
319305999,Chess,4.5,14864,0,"1.99, 7.99, 29.99, 19.99",Vintolo Ltd,4+,EN,47129600,Games,"Games, Strategy, Board, Entertainment",13/06/2009,21/06/2019,,,,,,,,,,,,,,,,,,,,
319519142,TOTL,2.5,43,0,,Robert Urschel,4+,EN,41591808,Games,"Games, Entertainment, Strategy, Puzzle",14/06/2009,21/06/2018,,,,,,,,,,,,,,,,,,,,
320166918,Tic-Tac-Toe Arena,1.5,8,1.99,,RookSoft Ltd.,4+,EN,82583552,Games,"Games, Entertainment, Strategy, Board",24/06/2009,13/09/2016,,,,,,,,,,,,,,,,,,,,
320469536,4_IN_1_ROW_Lite,2.5,3593,0,,"AOBO Co.,Ltd",4+,"EN, JA, ZH",7750656,Games,"Games, Board, Strategy, Entertainment",28/06/2009,3/02/2018,,,,,,,,,,,,,,,,,,,,
320667784,Tournament Checkers Free,3,344,0,,Futrell Software,4+,EN,4578541,Games,"Games, Entertainment, Strategy, Board",2/07/2009,2/07/2009,,,,,,,,,,,,,,,,,,,,
321026028,Checkers,4.5,36581,0,,Vintolo Ltd,4+,EN,69393408,Games,"Games, Entertainment, Board, Strategy",4/07/2009,14/06/2019,,,,,,,,,,,,,,,,,,,,
321026028,Checkers,4.5,36581,0,,Vintolo Ltd,4+,EN,69393408,Games,"Games, Entertainment, Board, Strategy",4/07/2009,14/06/2019,,,,,,,,,,,,,,,,,,,,
